crib_f1,n,text,fsc_f1,cons,dist_f1,com_f1
Items Ranked at Highest Extreme,1,It is important to vote for leaders who will combat climate change.,4,FALSE,TRUE,"(With s8): Climate change is a real threat, leadership is required"
Items Ranked Higher in this Factor Array than in Other Factor Arrays,8,Climate change is a threat to the health and safety of our children.,3,FALSE,TRUE,(With s1): CC mitigation protects children. Future society has value.
Items Ranked Higher in this Factor Array than in Other Factor Arrays,12,The Great Barrier Reef is at risk from climate change.,3,FALSE,TRUE,"Congruent with CC is real, threatening, and is already impacting society."
Items Ranked Higher in this Factor Array than in Other Factor Arrays,13,The threat of climate change is much worse than climate scientists originally thought.,2,FALSE,TRUE,"(With 1 and qual. comments from 1). CC is seen to have devastating consequences. Leadership is a moral and ethical obligation. In general, leaders should be making the 'tough' decisions, but failing to do so. Some qual. comments indicate corruption/vested interest."
Items Ranked Higher in this Factor Array than in Other Factor Arrays,15,The increased occurrence of extreme weather events is a clear sign that climate change is real.,2,FALSE,TRUE,"(with 13): CC is real, and worse than people thought"
Items Ranked Higher in this Factor Array than in Other Factor Arrays,17,Australia is experiencing more extreme weather and hotter days due to climate change.,2,FALSE,TRUE,"CC is having real, immediate impacts"
Items Ranked Higher in this Factor Array than in Other Factor Arrays,19,"Climate change policy and renewable energy (e.g., solar power) should be a major focus of Australian political elections.",2,FALSE,TRUE,"Emphasis for the need for leaders to mitigate CC, renewables are a co-benefit, not focus."
Items Ranked Higher in this Factor Array than in Other Factor Arrays,4,Poor people will be impacted the worst by climate change.,1,FALSE,TRUE,Emphasise more holistic impacts [8] rather than disparity of impacts. Emphasise the intergenerational disparity [8]
Items Ranked Higher in this Factor Array than in Other Factor Arrays,10,Climate change sceptics ignore basic climate science facts.,1,FALSE,TRUE,"CC science is solid and damning, climate change sceptics do not understand the fundamentals."
Items Ranked Higher in this Factor Array than in Other Factor Arrays,11,"Through cutting science funding, we damage Australia's ability to respond to climate change.",1,FALSE,TRUE,"Combine with [1], leaders shouldn't cut science funding"
Items Ranked Higher in this Factor Array than in Other Factor Arrays,14,Politicians who refuse to tackle climate change are just as bad as those who deny climate science.,1,FALSE,TRUE,Belief matter to the extent of action. The endorsement of 'bad' reflects the moral obligations of protection.
Items Ranked Higher in this Factor Array than in Other Factor Arrays,9,Politicians and the mass media are ignorant about the risks of climate change.,0,FALSE,TRUE,But not as ignorant as sceptics [10]
Items Ranked Higher in this Factor Array than in Other Factor Arrays,22,People who deny the science of climate change should not hold public office.,0,FALSE,TRUE,"(With s1): Belief of leaders doesn't matter as much as action. Given its ranking relative to other profiles, indicates climate sceptics are at least seen in a negative light. Possibily seen as a risk to lack of CC action?"
Items Ranked Lower in this Factor Array than in Other Factor Arrays,30,Australian politicians need to wake up to the emergency of tackling climate change.,0,FALSE,TRUE,"Despite [1] being the most salient, this statement falls within the middle of the distribution. The use of 'emergency' here may be offputing"
Items Ranked Lower in this Factor Array than in Other Factor Arrays,24,"No political party can say they have a climate change action plan when they favour coal, oil, and gas companies.",-1,FALSE,TRUE,Perhaps a reluctance to disagree with the mutually exclusive categorisation of this statement.
Items Ranked Lower in this Factor Array than in Other Factor Arrays,26,"It is shameful that climate change, the greatest problem of our time, is barely discussed in the media.",-1,FALSE,TRUE,Similar to media [29]
Items Ranked Lower in this Factor Array than in Other Factor Arrays,27,Countries must fulfil their Paris Climate Agreement goals.,-1,FALSE,TRUE,"Generally, it appears -1 is still an endorsed category, but just less salient than the positive categories. Once again, specific actions are not as salient"
Items Ranked Lower in this Factor Array than in Other Factor Arrays,28,"Regardless of who is elected, the reality is that climate change is going to destroy everything.",-1,FALSE,TRUE,"This statement is not as salient as others, perhaps as politicians have some sway on our future [1]. The notion of an emergency is not a salient aspect [30]"
Items Ranked Lower in this Factor Array than in Other Factor Arrays,29,Oil and gas companies could not care less about climate change.,-1,FALSE,TRUE,Similar to media [26]
Items Ranked Lower in this Factor Array than in Other Factor Arrays,2,Scientists should stop falsely claiming that climate change is a settled science.,-2,FALSE,TRUE,"The science is settled [5], and worse than scientists originally thought [13]"
Items Ranked Lower in this Factor Array than in Other Factor Arrays,5,"They changed the name from ""global warming"" to ""climate change"" because the planet isn't warming.",-2,FALSE,TRUE,"Alongside [13], indicates CC is occuring and warming the world"
Items Ranked Lower in this Factor Array than in Other Factor Arrays,7,Cow farts cause more 'climate change' than human activity.,-2,FALSE,TRUE,Humans play an important rule
Items Ranked Lower in this Factor Array than in Other Factor Arrays,18,"Those who demand climate action are the usual ""torch-and-pitchfork"" crowd.",-2,FALSE,TRUE,"Viewpoint reflects the need for CC action, do not identify themselves as a 'torch-and-pitchfork' crowd"
Items Ranked Lower in this Factor Array than in Other Factor Arrays,6,The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.,-3,FALSE,TRUE,Similar to [3]
Items Ranked Lower in this Factor Array than in Other Factor Arrays,16,Australian agriculture is thriving so climate change can't be real.,-3,FALSE,TRUE,"(Combined with s15 & s17): CC is likely negatively impacting agriculture. Other statements (e.g., s2) indicate CC is real."
Items Ranked at Lowest Extreme,3,Climate change is a hoax perpetrated by the United Nations.,-4,FALSE,TRUE,"Qualitative comments reveal Ps found this statement absurd. Not only is CC real (1), the idea that the UN would manufacture the phenomenon is insulting."
Not on Crib Sheet,25,We must start working together for real solutions on climate change.,1,FALSE,TRUE,But it's policitians [1] who must take charge
Not on Crib Sheet,20,"Climate sceptics, with no genuine expertise, cannot know better than climate scientists.",0,TRUE,FALSE,Climate scientists are not an unchallengable elite
Not on Crib Sheet,21,Climate change and human burning of fossil fuels are strongly linked.,0,FALSE,TRUE,"Impacts [8, 12, 13, 15, 17] are more salient than specific causal mechanisms"
Not on Crib Sheet,23,"We need to keep coal, oil, and gas in the ground and adopt more renewable energy sources, like solar and wind power.",0,FALSE,TRUE,"Impacts [8, 12, 13, 15, 17] are more salient than specific policies.Maybe not seen as necessarily exclusive categories. As with [30], specific disruptions are not endorsed. Rather, shifting the election focus [1,19] is more salient."
