id,condition,can.mitigate,flagged,list_key,list_content,comment_key,comment_content,rank,mms_compat,human_code,human_comment
2,1,1,0,list.cause,greenhouse gases,list.cause.comment,,1,1,13,
2,1,1,0,list.cause,carbon monoxide,list.cause.comment,,2,1,12,"Participant could be talking about cars, but classified this more generally under 'air pollution'"
2,1,1,0,list.cause,humans,list.cause.comment,,3,1,14,
3,1,1,0,list.cause,natural cycle,list.cause.comment,no,1,1,15,
3,1,1,0,list.cause,"human contribution,,,,burning of wood and coal",list.cause.comment,no,2,1,"14,16,10",
3,1,1,0,list.cause,pollutants from industry,list.cause.comment,no,3,1,31,
4,1,1,0,list.cause,hole in ozone layer caused by,list.cause.comment,no,1,1,7,
4,1,1,0,list.cause,use of fossil fuels,list.cause.comment,no,2,1,17,
4,1,1,0,list.cause,decreasing forests,list.cause.comment,no,3,1,18,
4,1,1,0,list.cause,pollution,list.cause.comment,no,4,1,31,
5,2,2,0,list.cause,do not know,list.cause.comment,do not know,1,1,0,
6,1,1,0,list.cause,to many cows causing too much methane,list.cause.comment,na,1,1,"4,19",
7,1,1,0,list.cause,fossil fuels,list.cause.comment,,1,1,17,
7,1,1,0,list.cause,carbon dioxide,list.cause.comment,,2,1,1,
8,1,1,0,list.cause,Air pollution,list.cause.comment,,1,1,12,
8,1,1,0,list.cause,Deforestation,list.cause.comment,,2,1,18,
8,1,1,0,list.cause,farming,list.cause.comment,,3,1,20,
8,1,1,0,list.cause,Fossil Fuel,list.cause.comment,,4,1,17,
9,2,3,0,list.cause,pollution,list.cause.comment,none,1,1,31,
9,2,3,0,list.cause,waste,list.cause.comment,none,2,1,21,
9,2,3,0,list.cause,coal,list.cause.comment,none,3,1,10,
11,1,1,0,list.cause,increasing greenhouse gases,list.cause.comment,no,1,1,13,
12,1,1,0,list.cause,Excessive use of oil,list.cause.comment,Im no scientist but I believe climate change is caused by excess - of a range of things,1,1,10,
12,1,1,0,list.cause,Excessive use of coal,list.cause.comment,Im no scientist but I believe climate change is caused by excess - of a range of things,2,1,10,
12,1,1,0,list.cause,Excessive population (on earth),list.cause.comment,Im no scientist but I believe climate change is caused by excess - of a range of things,3,1,8,
14,1,1,0,list.cause,people,list.cause.comment,nah,1,1,14,
14,1,1,0,list.cause,gasses,list.cause.comment,nah,2,1,22,
14,1,1,0,list.cause,carbon dioxide,list.cause.comment,nah,3,1,1,
15,2,2,0,list.cause,do not know,list.cause.comment,do not know,1,1,0,
16,1,1,0,list.cause,damaged ozone layer,list.cause.comment,I don't think so,1,1,7,
16,1,1,0,list.cause,use of carbon producing fuels,list.cause.comment,I don't think so,2,1,10,
16,1,1,0,list.cause,deforestation,list.cause.comment,I don't think so,3,1,18,
17,1,1,0,list.cause,pollution,list.cause.comment,No,1,1,31,
17,1,1,0,list.cause,deforestation,list.cause.comment,No,2,1,18,
17,1,1,0,list.cause,volcanic eruptions,list.cause.comment,No,3,1,2,
19,2,1,0,list.cause,weather,list.cause.comment,no,1,1,23,
19,2,1,0,list.cause,environment,list.cause.comment,no,2,1,24,
19,2,1,0,list.cause,gas,list.cause.comment,no,3,1,22,
20,2,1,0,list.cause,human impact,list.cause.comment,,1,1,14,
20,2,1,0,list.cause,chemicals,list.cause.comment,,2,1,21,
20,2,1,0,list.cause,methane,list.cause.comment,,3,1,19,
21,1,1,0,list.cause,fossil fuel usage,list.cause.comment,,1,1,17,
21,1,1,0,list.cause,excess use of chemicals that affect the atmosphere,list.cause.comment,,2,1,12,
21,1,1,0,list.cause,cattle farm,list.cause.comment,,3,1,20,
22,1,2,0,list.cause,natural cycle,list.cause.comment,no,1,1,15,
22,1,2,0,list.cause,human interference,list.cause.comment,no,2,1,14,
22,1,2,0,list.cause,high pollutants from developing countries,list.cause.comment,no,3,1,25,
23,2,2,0,list.cause,greenhouse gases,list.cause.comment,no,1,1,13,
23,2,2,0,list.cause,humans,list.cause.comment,no,2,1,14,
23,2,2,0,list.cause,fossil fuels burning into our atmosphere,list.cause.comment,no,3,1,17,
23,2,2,0,list.cause,cutting down trees,list.cause.comment,no,4,1,18,
24,2,2,0,list.cause,temperature,list.cause.comment,no,1,1,26,
24,2,2,0,list.cause,rain,list.cause.comment,no,2,1,27,
24,2,2,0,list.cause,storms,list.cause.comment,no,3,1,28,
25,1,1,0,list.cause,man,list.cause.comment,No,1,1,14,
25,1,1,0,list.cause,industry,list.cause.comment,No,2,1,-1,
26,2,2,0,list.cause,rain,list.cause.comment,no,1,1,27,
26,2,2,0,list.cause,wind,list.cause.comment,no,2,1,29,
26,2,2,0,list.cause,sun,list.cause.comment,no,3,1,30,
27,1,1,0,list.cause,polution,list.cause.comment,none,1,1,31,
27,1,1,0,list.cause,rubbish,list.cause.comment,none,2,1,31,
27,1,1,0,list.cause,population,list.cause.comment,none,3,1,8,
28,1,2,0,list.cause,. high temperatures,list.cause.comment,These points follow each other high temperatures cause lower rainfall which causes drought in parts of the countryside.,1,1,26,Participants note indicates question was misunderstood
28,1,2,0,list.cause,. lack of rainfall,list.cause.comment,These points follow each other high temperatures cause lower rainfall which causes drought in parts of the countryside.,2,1,32,
28,1,2,0,list.cause,. drought,list.cause.comment,These points follow each other high temperatures cause lower rainfall which causes drought in parts of the countryside.,3,1,33,
29,1,1,0,list.cause,Factories,list.cause.comment,"It is mostly our actions and how we are growing into such a developed, needy world where we have to find things like energy fast and it be efficient, but at the cost of a little pollution, but when lots of companies/people do it, it's becoming a bit of an issue.",1,1,34,
29,1,1,0,list.cause,Pollution,list.cause.comment,"It is mostly our actions and how we are growing into such a developed, needy world where we have to find things like energy fast and it be efficient, but at the cost of a little pollution, but when lots of companies/people do it, it's becoming a bit of an issue.",2,1,31,
29,1,1,0,list.cause,Humans,list.cause.comment,"It is mostly our actions and how we are growing into such a developed, needy world where we have to find things like energy fast and it be efficient, but at the cost of a little pollution, but when lots of companies/people do it, it's becoming a bit of an issue.",3,1,14,
30,1,1,0,list.cause,deforestation,list.cause.comment,,1,1,18,
30,1,1,0,list.cause,pollution,list.cause.comment,,2,1,31,
31,1,1,0,list.cause,heat,list.cause.comment,not sure,1,1,26,
31,1,1,0,list.cause,smoke,list.cause.comment,not sure,2,1,35,
31,1,1,0,list.cause,eorosoles,list.cause.comment,not sure,3,1,11,Assuming this is 'aerosols'
32,1,1,0,list.cause,'- Green house gases,list.cause.comment,,1,1,13,
32,1,1,0,list.cause,- Increase of coal burning,list.cause.comment,,2,1,10,
32,1,1,0,list.cause,- Burning of plastics,list.cause.comment,,3,1,36,
33,1,1,0,list.cause,population,list.cause.comment,,1,1,8,
33,1,1,0,list.cause,farming,list.cause.comment,,2,1,20,
33,1,1,0,list.cause,fossil fuels,list.cause.comment,,3,1,17,
34,1,3,0,list.cause,"co2,wind",list.cause.comment,no,1,1,"1,29",
35,1,1,0,list.cause,More cars /vehicle on the road are causing more carbon dioxide,list.cause.comment,,1,1,"9,1",
35,1,1,0,list.cause,Too much coal fired power stations,list.cause.comment,,2,1,10,
36,2,3,0,list.cause,Solar flares,list.cause.comment,,1,1,30,
36,2,3,0,list.cause,Magnetic flux,list.cause.comment,,2,1,37,
36,2,3,0,list.cause,Pole shift,list.cause.comment,,3,1,38,
37,2,2,0,list.cause,car emissions,list.cause.comment,No,1,1,9,
37,2,2,0,list.cause,natural causes,list.cause.comment,No,2,1,15,
37,2,2,0,list.cause,volcanic eruptions,list.cause.comment,No,3,1,2,
38,1,1,0,list.cause,Use of coal as a source of energy,list.cause.comment,"Increased human population = more resources needed to support the population, which adds more pressure onto the factors listed above",1,1,10,
38,1,1,0,list.cause,Gas emissions from transport,list.cause.comment,"Increased human population = more resources needed to support the population, which adds more pressure onto the factors listed above",2,1,9,
38,1,1,0,list.cause,Gas emissions from large factories,list.cause.comment,"Increased human population = more resources needed to support the population, which adds more pressure onto the factors listed above",3,1,31,
38,1,1,0,list.cause,Heavy non-sustainable deforestation,list.cause.comment,"Increased human population = more resources needed to support the population, which adds more pressure onto the factors listed above",4,1,18,
38,1,1,0,list.cause,Increased human population,list.cause.comment,"Increased human population = more resources needed to support the population, which adds more pressure onto the factors listed above",5,1,8,
39,1,1,0,list.cause,Use of plastic and cutting trees,list.cause.comment,None,1,1,"18,39",
40,1,2,0,list.cause,Too much electricity,list.cause.comment,No,1,1,10,
40,1,2,0,list.cause,Too much coal,list.cause.comment,No,2,1,10,
40,1,2,0,list.cause,Too much oil,list.cause.comment,No,3,1,10,
40,1,2,0,list.cause,Destruction of tress/forests,list.cause.comment,No,4,1,18,
41,1,1,0,list.cause,GOVERMENT,list.cause.comment,MAKW,2,1,-1,
42,1,2,0,list.cause,industrial factories,list.cause.comment,not sure,1,1,34,
42,1,2,0,list.cause,cars,list.cause.comment,not sure,2,1,9,
43,1,1,0,list.cause,Greenhouse Gases,list.cause.comment,no thanks,1,1,17,
43,1,1,0,list.cause,Plastics,list.cause.comment,no thanks,2,1,39,
43,1,1,0,list.cause,burning of fossil fuels,list.cause.comment,no thanks,3,1,17,
44,2,2,0,list.cause,natural process of the planet after all there have been periods of warming and cooling before,list.cause.comment,"we as humans have only documented the climate for a couple hundred years, the whole science of climate is a interpertation of whatever statistics they choose to make, and involves a large amount of funding from governments who in turn are creating wealth from taxes from the same science. so in my opinon nothing is proven",1,1,15,
44,2,2,0,list.cause,burning fossil fuels,list.cause.comment,"we as humans have only documented the climate for a couple hundred years, the whole science of climate is a interpertation of whatever statistics they choose to make, and involves a large amount of funding from governments who in turn are creating wealth from taxes from the same science. so in my opinon nothing is proven",2,1,17,
44,2,2,0,list.cause,cutting down trees,list.cause.comment,"we as humans have only documented the climate for a couple hundred years, the whole science of climate is a interpertation of whatever statistics they choose to make, and involves a large amount of funding from governments who in turn are creating wealth from taxes from the same science. so in my opinon nothing is proven",3,1,18,
44,2,2,0,list.cause,larger abundance bio life(whole planetary life forms) in the whole planet,list.cause.comment,"we as humans have only documented the climate for a couple hundred years, the whole science of climate is a interpertation of whatever statistics they choose to make, and involves a large amount of funding from governments who in turn are creating wealth from taxes from the same science. so in my opinon nothing is proven",4,1,40,
44,2,2,0,list.cause,geological process inside the planet,list.cause.comment,"we as humans have only documented the climate for a couple hundred years, the whole science of climate is a interpertation of whatever statistics they choose to make, and involves a large amount of funding from governments who in turn are creating wealth from taxes from the same science. so in my opinon nothing is proven",5,1,42,
44,2,2,0,list.cause,stellar process due to the solar systems place in the whole galaxy/universe,list.cause.comment,"we as humans have only documented the climate for a couple hundred years, the whole science of climate is a interpertation of whatever statistics they choose to make, and involves a large amount of funding from governments who in turn are creating wealth from taxes from the same science. so in my opinon nothing is proven",6,1,41,
44,2,2,0,list.cause,natural way for the earth to rebalance the population of mankind,list.cause.comment,"we as humans have only documented the climate for a couple hundred years, the whole science of climate is a interpertation of whatever statistics they choose to make, and involves a large amount of funding from governments who in turn are creating wealth from taxes from the same science. so in my opinon nothing is proven",7,1,8,
45,2,3,0,list.cause,volcanic eruption,list.cause.comment,the first five are the major ones but then why tell people about them when you can use the minor ones to scare the greens  minorities and simpletons  into action against them,1,1,2,
45,2,3,0,list.cause,bush fires,list.cause.comment,the first five are the major ones but then why tell people about them when you can use the minor ones to scare the greens  minorities and simpletons  into action against them,2,1,43,
45,2,3,0,list.cause,earthquakes,list.cause.comment,the first five are the major ones but then why tell people about them when you can use the minor ones to scare the greens  minorities and simpletons  into action against them,3,1,46,
45,2,3,0,list.cause,floods,list.cause.comment,the first five are the major ones but then why tell people about them when you can use the minor ones to scare the greens  minorities and simpletons  into action against them,4,1,45,
45,2,3,0,list.cause,cyclones,list.cause.comment,the first five are the major ones but then why tell people about them when you can use the minor ones to scare the greens  minorities and simpletons  into action against them,5,1,44,
45,2,3,0,list.cause,fossil fuel,list.cause.comment,the first five are the major ones but then why tell people about them when you can use the minor ones to scare the greens  minorities and simpletons  into action against them,6,1,17,
45,2,3,0,list.cause,"cows, even though they have been roaming the earth since the dawn of time!",list.cause.comment,the first five are the major ones but then why tell people about them when you can use the minor ones to scare the greens  minorities and simpletons  into action against them,7,1,4,
46,1,2,0,list.cause,carbon emissions,list.cause.comment,,1,1,1,
46,1,2,0,list.cause,co2,list.cause.comment,,2,1,1,
46,1,2,0,list.cause,human activity,list.cause.comment,,3,1,14,
46,1,2,0,list.cause,ice cap melting,list.cause.comment,,4,1,47,
46,1,2,0,list.cause,,list.cause.comment,,5,1,-1,
47,1,1,0,list.cause,man,list.cause.comment,,1,1,14,
47,1,1,0,list.cause,nature,list.cause.comment,,2,1,15,
47,1,1,0,list.cause,animals,list.cause.comment,,3,1,48,
48,1,1,0,list.cause,Polution,list.cause.comment,,1,1,31,
48,1,1,0,list.cause,Garbage,list.cause.comment,,2,1,31,
48,1,1,0,list.cause,Airplanes,list.cause.comment,,3,1,49,
49,2,1,0,list.cause,"Just the normal change in the world's climate for instance 10,000 years ago there was a ice age",list.cause.comment,self explanatory,1,1,15,
49,2,1,0,list.cause,"More energy burning fuels being used and heating up the atmosphere, causing holes in the ozone layer and letting more radiation through",list.cause.comment,self explanatory,2,1,"10,7",
49,2,1,0,list.cause,Burning off of forests therefore less trees etc to turn carbon monoxide into oxygen,list.cause.comment,self explanatory,3,1,18,
50,1,1,0,list.cause,air pollution,list.cause.comment,,1,1,12,
50,1,1,0,list.cause,burning coal/ fuel,list.cause.comment,,2,1,10,
50,1,1,0,list.cause,less forrest,list.cause.comment,,3,1,18,
52,1,1,0,list.cause,over grazing of pasture lands,list.cause.comment,coal fired power creates additional pollution,1,1,4,
52,1,1,0,list.cause,deafrestation,list.cause.comment,coal fired power creates additional pollution,2,1,18,
52,1,1,0,list.cause,use of coal for power generation,list.cause.comment,coal fired power creates additional pollution,3,1,10,
53,1,2,0,list.cause,pollution,list.cause.comment,nothing,1,1,31,
53,1,2,0,list.cause,gases,list.cause.comment,nothing,2,1,22,
53,1,2,0,list.cause,cars,list.cause.comment,nothing,3,1,9,
54,1,1,0,list.cause,pollution,list.cause.comment,no comments,1,1,31,
54,1,1,0,list.cause,deforestation,list.cause.comment,no comments,2,1,18,
54,1,1,0,list.cause,changing ecosystem,list.cause.comment,no comments,3,1,50,
55,1,1,0,list.cause,ozone destroying emissions / gasses,list.cause.comment,,1,1,7,
55,1,1,0,list.cause,industry,list.cause.comment,,2,1,34,
55,1,1,0,list.cause,cars,list.cause.comment,,3,1,9,
56,1,1,0,list.cause,"pollution,",list.cause.comment,,1,1,31,
56,1,1,0,list.cause,humans,list.cause.comment,,2,1,14,
57,1,1,0,list.cause,pollution,list.cause.comment,"pollution
sprays
fuels",1,1,31,
57,1,1,0,list.cause,sprays,list.cause.comment,"pollution
sprays
fuels",2,1,22,
57,1,1,0,list.cause,fuels,list.cause.comment,"pollution
sprays
fuels",3,1,10,
58,1,1,0,list.cause,Humans,list.cause.comment,No,1,1,14,
58,1,1,0,list.cause,pollution,list.cause.comment,No,2,1,31,
58,1,1,0,list.cause,factories,list.cause.comment,No,3,1,34,
59,1,2,0,list.cause,"Too much carbon dioxide being produced into the atmosphere which causes the atmosphere to become warmer, in which case affects the melting of the earth`s ice caps.",list.cause.comment,none,1,1,1,
60,2,2,0,list.cause,carbon dioide,list.cause.comment,i believe we are just undergoing a cycle in the universe,1,1,1,
60,2,2,0,list.cause,population growth,list.cause.comment,i believe we are just undergoing a cycle in the universe,2,1,8,
60,2,2,0,list.cause,age of earth,list.cause.comment,i believe we are just undergoing a cycle in the universe,3,1,15,
61,2,3,0,list.cause,Hydro carbon,list.cause.comment,no,1,1,51,
61,2,3,0,list.cause,carbon emissions,list.cause.comment,no,2,1,1,
61,2,3,0,list.cause,decrease of the ozone level,list.cause.comment,no,3,1,7,
62,1,1,0,list.cause,nuclear plants,list.cause.comment,,1,1,5,
62,1,1,0,list.cause,too much usage of natural stuff,list.cause.comment,,2,1,52,
62,1,1,0,list.cause,deforestation,list.cause.comment,,3,1,18,
63,1,1,0,list.cause,industry and burning coal,list.cause.comment,na,1,1,"34,10",
64,1,1,0,list.cause,exhaust gases,list.cause.comment,none,1,1,9,
64,1,1,0,list.cause,animals in farming for meat production,list.cause.comment,none,2,1,4,
64,1,1,0,list.cause,power production using coal,list.cause.comment,none,3,1,10,
64,1,1,0,list.cause,exhaust gases,list.cause.comment,none,4,1,9,
65,1,1,0,list.cause,Greenhouse effect,list.cause.comment,,1,1,53,
65,1,1,0,list.cause,Global warming,list.cause.comment,,2,1,54,
65,1,1,0,list.cause,Fuel Emissions,list.cause.comment,,3,1,10,
66,1,1,0,list.cause,burning of fossil fuels,list.cause.comment,,1,1,17,
66,1,1,0,list.cause,car exhaust fumes,list.cause.comment,,2,1,9,
66,1,1,0,list.cause,aircraft,list.cause.comment,,3,1,49,
67,1,1,0,list.cause,human activity,list.cause.comment,none,1,1,14,
67,1,1,0,list.cause,animal (livestock) gases,list.cause.comment,none,2,1,4,
67,1,1,0,list.cause,pollution,list.cause.comment,none,3,1,31,
